source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude
dailynews365,http://www.dailynews365.com/national-news/landslides-killed-14-in-uttarakhand/,653,07/18/2008 12:00:00 AM,,Sukhidhang area of Champawat district in Uttarakhand ,At least 14 people have been killed & 12 others injured after a passenger bus was hit by landslides,Sukhidhang area of Champawat district in Uttarakhand ,5km,landslide,rain,medium,unknown,14,,,,,glc,653,India,IN,Uttarakhand,4668,Champawat,2.22339,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,80.1,29.33
IBN,http://ibnlive.in.com/generalnewsfeed/news/yatra-to-kedarnath-gangotri-yamunotri-resumes/745000.html,3671,06/29/2011 12:00:00 AM,,National Highway leading to Yamunotri from Dehradun,"Jul 1 (PTI) National highways leading to Kedarnath, Gangotri and Yamunotri, which were blocked due to landslides following heavy rains, were reopened today for traffic to resume the yatra, official sources said.The national highways leading to Kedarnath, Gangotri and Yamunotri were reopened for traffic after the Border Road Organisation (BRO) and police personnel cleared the debris, they said.However, traffic on Almora-Pithoragarh road could not be resumed as landslides continued to hit the area. Pauri- Safdarkhal road has also been blocked at Khundadhar area due to landslides.The landslides triggered by heavy rains for the past couple of days in most parts of Uttarakhand had blocked several roads in the state and forced the government to issue an alert.Uttarakhand Chief Minister Ramesh Pokhriyal Nishank has directed the district magistrates of all the 13 districts to remain on alert.A total of 10 people have so far been killed in the state in various rains-related incidents for the pa",National Highway leading to Yamunotri from Dehradun,unknown,landslide,downpour,medium,above_road,,,,,,glc,3671,India,IN,Uttarakhand,2000,PÄ«palkoti,48.67682,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,78.2242533,30.81507336
www.dnaindia.com,http://www.dnaindia.com/india/1864669/report-fresh-incidents-of-landslides-as-heavy-rains-lash-uttarakhand,5177,07/23/2013 12:00:00 AM,,"Gauchar, Chamoli District, Uttarakhand","Moderate to heavy rains in most places in Uttarakhand on Tuesday triggered fresh incidents of landslides, cloudbursts and house collapses across the state. Incessant overnight rains in Chamoli district caused fresh landslides at a number of placesÃ Several houses were hit by mud and slush brought over by the landslides at Gauchar.","Gauchar, Chamoli District, Uttarakhand",5km,landslide,downpour,medium,unknown,0,,,,,glc,5177,India,IN,Uttarakhand,2571,RudraprayÄg,16.1223,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,79.151,30.2902
www.thehindubusinessline.com,http://www.thehindubusinessline.com/news/rains-trigger-cloudburst-landslides-in-uttarakhand/article4948408.ece,5181,07/24/2013 12:00:00 AM,,"Rishikesh-Badrinath Highway, Uttarakhand","Due to landslide, the Rishikesh-Badrinath and Rishikesh-Kedarnath highways have been blocked at several places. A team has been rushed to the spot to have a detailed account of the situation there. The affected families are being shifted to safer places, the officials said. The administration is making efforts to open the blocked routes. Due to continuous rains, the water level in several rivers, including Ganga, Yamuna, Kali, Gori and Sharda, is increasing and the situation is being monitored by the authorities, they said.","Rishikesh-Badrinath Highway, Uttarakhand",unknown,landslide,downpour,medium,unknown,,,,,,glc,5181,India,IN,Uttarakhand,2571,RudraprayÄg,24.03472,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,79.233,30.2733
Times of India,http://timesofindia.indiatimes.com/city/dehradun/Three-more-killed-in-landslides-toll-now-5/articleshow/38981735.cms,6167,07/20/2014 12:00:00 AM,,"Sonprayag, Uttarakhand","In less than a week, the toll in landslide-related incidents rose to five in the Uttarakhand hill districts with two fresh casualties reported late Wednesday in Chamoli district. Executive director Puish Rautela of the Uttarakhand Disaster Management Response Centre (UDMC) said that three people, including a 50-year-old woman, Janki Devi, died in a landslide on Sunday near Sonprayag on the Rudraprayag-Kedarnath national highway, in Rudrapryag district. Two men Ganesh Prasad (38) and Puran Singh (45) were killed late Wednesday around 11.30 pm as a huge rock, triggered by heavy rain, came crashing on a state government-owned bus at Bajpur. A senior officer in the disaster management department said 38 connecting roads including Rishikesh-Badrinath, Rishikesh-Kedarnath, Rishikesh-Gangotri and Yamnotri, were found blocked because of fresh landslides. The total number of blocked roads rose to 206 from 168 in Chamoli, Uttarkashi, Pauri, Kedarnath and Tehri districts. Chief Minister Harish Ra","Sonprayag, Uttarakhand",1km,landslide,continuous_rain,small,above_road,3,0,,,,glc,6167,India,IN,Uttarakhand,2571,RudraprayÄg,38.58572,08/24/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,78.9953,30.6326
Kathmandu Post,http://kathmandupost.ekantipur.com/news/2016-05-24/10-nepalis-killed-in-dehradun-landslip.html,9314,05/22/2016 03:00:00 PM,,"Chetra Village, Dehradun, India","Estimated location within Dehradun. Ten Nepali workers were killed in Chetra Village in Dehradun, India, after they were buried under boulders after a landslide hit the region on Sunday afternoon. They were construction workers at a road project. Surya Bikram Shahi, a representative of the Nepali community in Dehradun, said the injured were undergoing treatment at local health facilities.  âTheir identities are yet to be ascertained,â said Shahi. Officials at the Embassy of Nepal in New Delhi said they were trying to collect information on the incident.  Sanotsh BK, one of the injured, told the Post over phone from hospital that the victims were from Jajarkot, Bardiya and Rukum districts. According to Hindustan Times newspaper, 16 labourers, who were taking shelter under the boulders, were trapped after the landslide dislodged the rocks.   âAll the bodies were recovered after a more than five hours-long rescue operation by local police and disaster management rescue and search teams. V","Chetra Village, Dehradun, India",25km,rock_fall,rain,small,mine,10,6,,,,glc,9314,India,IN,Uttarakhand,522081,Dehra DÅ«n,2.9544,08/02/2016 06:18:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,78.0648,30.306
zeenews.india.com,http://zeenews.india.com/news/uttarakhand/rains-continue-to-lash-u-khand-8-houses-damaged-i_869923.html,5361,08/18/2013 12:00:00 AM,,"Nuranoo, Uttarkashi, Uttarakhand","Over 30 families were evacuated to safer places and eight houses damaged due to landslides in Uttarakhand, as rains on Sunday lashed several parts of the hill state. Capital Dehradun received the maximum rainfall of 53.8 mm during the last 24 hours. Pantnagar recorded 22.2 mm rainfall while Dunda in Uttarkashi district had 22 mm of rains. Uttarkashi and Rudraprayag received 13 mm and 13.4 mm rainfall respectively. According to State Disaster Mitigation and Management Centre (DMMC), the sky remained overcast with clouds in most of the places throughout the day. In Nuranoo village of Uttarkashi district, as many as eight houses were damaged due to landslides triggered by intermittent rains lashing the district for past few days, Sub Divisional Magistrate RK Pandey said. He said over 30 families have been taken to safer places like nearby temples, primary school and panchayat office amid apprehensions of threat due to continuous rains. ","Nuranoo, Uttarkashi, Uttarakhand",25km,landslide,unknown,medium,unknown,,,,,,glc,5361,India,IN,Himachal Pradesh,8160,Rohru,32.73394,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,78.066,31.0826
Tribune India,http://www.tribuneindia.com/news/uttarakhand/10-killed-in-rain-related-incidents/267353.html,9017,07/17/2016 12:00:00 AM,,"Narendranagar bypass on the Rishikesh-Gangotri national highway,Tehri Garhwal district, Uttarakhand, India","Four persons were killed in Tehri Garhwal district today when their car was hit by debris falling from a hillside following a landslide triggered by heavy rains, taking the toll to 10. Landslip debris hit a car near the Narendranagar bypass on the Rishikesh-Gangotri national highway when it was on its way from Rishikesh to Chamba, Narendra Nagar SDM, KK Mishra said. All the four occupants of the car were killed on the spot, he said.","Narendranagar bypass on the Rishikesh-Gangotri national highway,Tehri Garhwal district, Uttarakhand, India",1km,landslide,downpour,medium,above_road,4,0,,,,glc,9017,India,IN,Uttarakhand,4734,Narendranagar,0.68301,07/18/2016 06:16:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,78.2936,30.1642
dnaindia,http://www.dnaindia.com/india/report_rains-hit-normal-life-in-uttarakhand_1426128,2292,08/20/2010 12:00:00 AM,,"Bhatwari, Rishikesh-Gangotri highway, Uttarkhand","Friday, Aug 20, 2010, 15:19 IST   Incessant rains continued to lash Uttarakhand triggering landslides and most of the rivers flowing at danger level today.  Meanwhile, landslides occurred at a few places in Garhwal Himalayas due to heavy rains in at Badrinath, Kedarnath, Yamunotri and Gangotri.  While Rishikesh-Gangotri highway was blocked by landslides at Bhatwari and Nalupani and Rishikesh-Badrinath at Lambagad, routes to Yamunotri was disrupted at Ranachatti and Kedarnath at Gaurikund, the officials said.  Work is on to clear the debris and repair the roads.","Bhatwari, Rishikesh-Gangotri highway, Uttarkhand",5km,landslide,downpour,medium,unknown,0,,,,,glc,2292,India,IN,Uttarakhand,17123,UttarkÄshi,19.4259,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,78.6186,30.8183
ABC,http://www.abc.net.au/news/2014-08-16/an-floods2c-landslide-leave-17-dead-in-northern-india/5675282,6510,08/15/2014 12:00:00 AM,,Pauri district of Uttarakhand,"Fourteen people were killed when their houses were buried by a tide of mud and trees, emergency official Piyush Rautela told AFP.",Pauri district of Uttarakhand,unknown,debris_flow,rain,medium,unknown,14,0,,http://www.abc.net.au/news/image/5675284-3x2-940x627.jpg,,glc,6510,India,IN,Uttarakhand,26514,Pauri,4.54777,12/15/2014 10:24:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,78.7472,30.1176
